,name,institution
498,The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park"
499,Privacy Law and Data Protection,University of Pennsylvania
500,Building Modern Python Applications on AWS,Amazon Web Services
501,Digital Business Models,Lund University
502,"Everyday Excel, Part 2",University of Colorado Boulder
503,Reliable Google Cloud Infrastructure: Design and Process,Google Cloud
504,Introduction to Computer Programming,University of London
505,"Big Data Essentials: HDFS, MapReduce and Spark RDD",Yandex
506,Dermatology: Trip to skin,Novosibirsk State University 
507,Sustainable Tourism – promoting environmental public health,University of Copenhagen
508,Population Health During A Pandemic: Contact Tracing and Beyond,University of Houston
509,Social Impact Strategy: Tools for Entrepreneurs and Innovators,University of Pennsylvania
510,C for Everyone: Programming Fundamentals,"University of California, Santa Cruz"
511,Introduction to Structured Query Language (SQL),University of Michigan
512,Social and Economic Networks:  Models and Analysis,Stanford University
513,The Truth About Cats and Dogs,The University of Edinburgh
514,Sports and Society,Duke University
515,Fundamentals of Scalable Data Science,IBM
516,Effective Compliance Programs,University of Pennsylvania
517,Transformation of the Global Food System,University of Copenhagen
518,Web Application Technologies and Django,University of Michigan
519,Curanderismo: Traditional Healing Using Plants,University of New Mexico
520,Applied Machine Learning in Python,University of Michigan
521,Troubleshooting and Debugging Techniques,Google
522,Introduction to C# Programming and Unity,University of Colorado System
523,"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona
524,Les Fondamentaux de la Négociation,ESSEC Business School
525,Introduction to Clinical Data,Stanford University
